name,cagr,vol,sharpe,max_dd
Regime LS,0.006995611993038997,0.032412012965674405,0.23126998273626254,0.17026765488728657
Rotation,0.04226383527121613,0.13173949010439442,0.38032655163239854,0.3510926733963645
Buy&Hold XLV,0.1079163303489572,0.17060079146706653,0.6862476586181201,0.3917029815673648
Buy&Hold SPY,0.11047251130173463,0.1958326833930968,0.6331850577084777,0.5518944644252979
Equal-Weight HC,0.11075119337538197,0.19659695882914655,0.6329690009512755,0.41158790338960516
