spread_mom_th,target_gross,rate_th,vix_th,spy_th,sharpe_full,sharpe_in,sharpe_out
0.0,1.0,,,,0.23126998273626254,0.29802583824831397,0.18540569888376474
0.0,1.5,,,,0.23126998273626073,0.2980258382483112,0.18540569888375324
0.1,1.0,,,,0.4730437565690633,0.5973617537439729,0.4113029723984938
0.1,1.5,,,,0.4730437565690559,0.5973617537439654,0.41130297239849617
