lookback,top_k,use_ts,use_12m1m,use_xlv_filter,ts_lookback,target_vol,max_gross,sharpe_full,sharpe_in,sharpe_out
6,1,True,True,True,6,0.18,1.5,0.31000994902397383,0.6604811595960547,0.0774849816195904
6,1,True,True,True,6,0.18,2.0,0.31231605338652096,0.6662804758250023,0.08024121927864916
6,1,True,True,True,6,0.2,1.5,0.311290015342686,0.6511971176027601,0.08447362807837906
6,1,True,True,True,6,0.2,2.0,0.31355921338968784,0.6650171032092306,0.08281392930966103
6,1,True,True,True,12,0.18,1.5,0.32561623960164615,0.6763680172539759,0.10025963731170935
6,1,True,True,True,12,0.18,2.0,0.3300966611660395,0.6807086343765422,0.10695331667019056
6,1,True,True,True,12,0.2,1.5,0.32820420154016755,0.6747651556567668,0.10441690529735607
6,1,True,True,True,12,0.2,2.0,0.33133460879228194,0.67947804028478,0.10952012510796882
6,1,True,True,False,6,0.18,1.5,0.3393535770691354,0.5037748400052698,0.22701665063678095
6,1,True,True,False,6,0.18,2.0,0.3413767661594892,0.5107821083856829,0.22700502936578484
6,1,True,True,False,6,0.2,1.5,0.3402365130494172,0.4934061572531472,0.23490598677085484
6,1,True,True,False,6,0.2,2.0,0.3425859159167448,0.5091091318975334,0.23000527828236259
6,1,True,True,False,12,0.18,1.5,0.42531904215463706,0.6405962444158113,0.2793502836905425
6,1,True,True,False,12,0.18,2.0,0.4285790257540987,0.6452919921979102,0.28304767761042277
6,1,True,True,False,12,0.2,1.5,0.4284923270884532,0.6383713911620937,0.2854045166798282
6,1,True,True,False,12,0.2,2.0,0.4299421106393744,0.6439364908987997,0.2860564341365023
6,1,False,True,True,6,0.18,1.5,0.32561623960164615,0.6763680172539759,0.10025963731170935
6,1,False,True,True,6,0.18,2.0,0.3300966611660395,0.6807086343765422,0.10695331667019056
6,1,False,True,True,6,0.2,1.5,0.32820420154016755,0.6747651556567668,0.10441690529735607
6,1,False,True,True,6,0.2,2.0,0.33133460879228194,0.67947804028478,0.10952012510796882
6,1,False,True,True,12,0.18,1.5,0.32561623960164615,0.6763680172539759,0.10025963731170935
6,1,False,True,True,12,0.18,2.0,0.3300966611660395,0.6807086343765422,0.10695331667019056
6,1,False,True,True,12,0.2,1.5,0.32820420154016755,0.6747651556567668,0.10441690529735607
6,1,False,True,True,12,0.2,2.0,0.33133460879228194,0.67947804028478,0.10952012510796882
6,1,False,True,False,6,0.18,1.5,0.41736745200489117,0.6008511150892141,0.292840013504403
6,1,False,True,False,6,0.18,2.0,0.42073238829140425,0.6058196506980905,0.296336724338245
6,1,False,True,False,6,0.2,1.5,0.4199973894549276,0.5983248257735764,0.29822115038921987
6,1,False,True,False,6,0.2,2.0,0.4220594779487587,0.6043780448736353,0.29937429645719627
6,1,False,True,False,12,0.18,1.5,0.41736745200489117,0.6008511150892141,0.292840013504403
6,1,False,True,False,12,0.18,2.0,0.42073238829140425,0.6058196506980905,0.296336724338245
6,1,False,True,False,12,0.2,1.5,0.4199973894549276,0.5983248257735764,0.29822115038921987
6,1,False,True,False,12,0.2,2.0,0.4220594779487587,0.6043780448736353,0.29937429645719627
6,2,True,True,True,6,0.18,1.5,0.4152336793426114,0.8105855414148619,0.13818853769710052
6,2,True,True,True,6,0.18,2.0,0.42900425875897147,0.8648986811144481,0.12798140264772423
6,2,True,True,True,6,0.2,1.5,0.405964510554938,0.798442539437182,0.13321924665978388
6,2,True,True,True,6,0.2,2.0,0.4308772067615547,0.8458581283027964,0.14252675056008446
6,2,True,True,True,12,0.18,1.5,0.3993918355493214,0.8213768462671224,0.11155721687641271
6,2,True,True,True,12,0.18,2.0,0.3982149511255859,0.847098689365809,0.09710518597021692
6,2,True,True,True,12,0.2,1.5,0.38954673644663007,0.8145970987498292,0.10107462349152567
6,2,True,True,True,12,0.2,2.0,0.4074450462586183,0.841471046192353,0.11368266173865856
6,2,True,True,False,6,0.18,1.5,0.39266710405665456,0.5781559372912101,0.2551008265273985
6,2,True,True,False,6,0.18,2.0,0.4094142432023881,0.6362575172879686,0.24466287259723193
6,2,True,True,False,6,0.2,1.5,0.3779686816178899,0.5576081747062788,0.244732798615011
6,2,True,True,False,6,0.2,2.0,0.41138788518567343,0.6178621809273457,0.26055960160400166
6,2,True,True,False,12,0.18,1.5,0.4851985655561979,0.7740046391121237,0.2764964223292157
6,2,True,True,False,12,0.18,2.0,0.4814751928440552,0.8038554495163949,0.2536060428219352
6,2,True,True,False,12,0.2,1.5,0.4720213824321375,0.7582637512246857,0.26504736956035696
6,2,True,True,False,12,0.2,2.0,0.4910356155464573,0.7974625033020444,0.27237479353252786
6,2,False,True,True,6,0.18,1.5,0.4038277178852959,0.8213768462671224,0.12014172428116172
6,2,False,True,True,6,0.18,2.0,0.4024081295015515,0.847098689365809,0.10513233238497827
6,2,False,True,True,6,0.2,1.5,0.39416134382831625,0.8145970987498292,0.1100446846599637
6,2,False,True,True,6,0.2,2.0,0.4116798400475195,0.841471046192353,0.12181744798021892
6,2,False,True,True,12,0.18,1.5,0.4038277178852959,0.8213768462671224,0.12014172428116172
6,2,False,True,True,12,0.18,2.0,0.4024081295015515,0.847098689365809,0.10513233238497827
6,2,False,True,True,12,0.2,1.5,0.39416134382831625,0.8145970987498292,0.1100446846599637
6,2,False,True,True,12,0.2,2.0,0.4116798400475195,0.841471046192353,0.12181744798021892
6,2,False,True,False,6,0.18,1.5,0.4903158266281824,0.6408585197230476,0.3798293540424604
6,2,False,True,False,6,0.18,2.0,0.4868812744163091,0.6683025305046552,0.3573118359802959
6,2,False,True,False,6,0.2,1.5,0.4723443940535495,0.6224919012140168,0.36138354314663246
6,2,False,True,False,6,0.2,2.0,0.49720998469518773,0.6637137474620727,0.37728766214013376
6,2,False,True,False,12,0.18,1.5,0.4903158266281824,0.6408585197230476,0.3798293540424604
6,2,False,True,False,12,0.18,2.0,0.4868812744163091,0.6683025305046552,0.3573118359802959
6,2,False,True,False,12,0.2,1.5,0.4723443940535495,0.6224919012140168,0.36138354314663246
6,2,False,True,False,12,0.2,2.0,0.49720998469518773,0.6637137474620727,0.37728766214013376
12,1,True,True,True,6,0.18,1.5,0.31000994902397383,0.6604811595960547,0.0774849816195904
12,1,True,True,True,6,0.18,2.0,0.31231605338652096,0.6662804758250023,0.08024121927864916
12,1,True,True,True,6,0.2,1.5,0.311290015342686,0.6511971176027601,0.08447362807837906
12,1,True,True,True,6,0.2,2.0,0.31355921338968784,0.6650171032092306,0.08281392930966103
12,1,True,True,True,12,0.18,1.5,0.32561623960164615,0.6763680172539759,0.10025963731170935
12,1,True,True,True,12,0.18,2.0,0.3300966611660395,0.6807086343765422,0.10695331667019056
12,1,True,True,True,12,0.2,1.5,0.32820420154016755,0.6747651556567668,0.10441690529735607
12,1,True,True,True,12,0.2,2.0,0.33133460879228194,0.67947804028478,0.10952012510796882
12,1,True,True,False,6,0.18,1.5,0.3393535770691354,0.5037748400052698,0.22701665063678095
12,1,True,True,False,6,0.18,2.0,0.3413767661594892,0.5107821083856829,0.22700502936578484
12,1,True,True,False,6,0.2,1.5,0.3402365130494172,0.4934061572531472,0.23490598677085484
12,1,True,True,False,6,0.2,2.0,0.3425859159167448,0.5091091318975334,0.23000527828236259
12,1,True,True,False,12,0.18,1.5,0.42531904215463706,0.6405962444158113,0.2793502836905425
12,1,True,True,False,12,0.18,2.0,0.4285790257540987,0.6452919921979102,0.28304767761042277
12,1,True,True,False,12,0.2,1.5,0.4284923270884532,0.6383713911620937,0.2854045166798282
12,1,True,True,False,12,0.2,2.0,0.4299421106393744,0.6439364908987997,0.2860564341365023
12,1,False,True,True,6,0.18,1.5,0.32561623960164615,0.6763680172539759,0.10025963731170935
12,1,False,True,True,6,0.18,2.0,0.3300966611660395,0.6807086343765422,0.10695331667019056
12,1,False,True,True,6,0.2,1.5,0.32820420154016755,0.6747651556567668,0.10441690529735607
12,1,False,True,True,6,0.2,2.0,0.33133460879228194,0.67947804028478,0.10952012510796882
12,1,False,True,True,12,0.18,1.5,0.32561623960164615,0.6763680172539759,0.10025963731170935
12,1,False,True,True,12,0.18,2.0,0.3300966611660395,0.6807086343765422,0.10695331667019056
12,1,False,True,True,12,0.2,1.5,0.32820420154016755,0.6747651556567668,0.10441690529735607
12,1,False,True,True,12,0.2,2.0,0.33133460879228194,0.67947804028478,0.10952012510796882
12,1,False,True,False,6,0.18,1.5,0.41736745200489117,0.6008511150892141,0.292840013504403
12,1,False,True,False,6,0.18,2.0,0.42073238829140425,0.6058196506980905,0.296336724338245
12,1,False,True,False,6,0.2,1.5,0.4199973894549276,0.5983248257735764,0.29822115038921987
12,1,False,True,False,6,0.2,2.0,0.4220594779487587,0.6043780448736353,0.29937429645719627
12,1,False,True,False,12,0.18,1.5,0.41736745200489117,0.6008511150892141,0.292840013504403
12,1,False,True,False,12,0.18,2.0,0.42073238829140425,0.6058196506980905,0.296336724338245
12,1,False,True,False,12,0.2,1.5,0.4199973894549276,0.5983248257735764,0.29822115038921987
12,1,False,True,False,12,0.2,2.0,0.4220594779487587,0.6043780448736353,0.29937429645719627
12,2,True,True,True,6,0.18,1.5,0.4152336793426114,0.8105855414148619,0.13818853769710052
12,2,True,True,True,6,0.18,2.0,0.42900425875897147,0.8648986811144481,0.12798140264772423
12,2,True,True,True,6,0.2,1.5,0.405964510554938,0.798442539437182,0.13321924665978388
12,2,True,True,True,6,0.2,2.0,0.4308772067615547,0.8458581283027964,0.14252675056008446
12,2,True,True,True,12,0.18,1.5,0.3993918355493214,0.8213768462671224,0.11155721687641271
12,2,True,True,True,12,0.18,2.0,0.3982149511255859,0.847098689365809,0.09710518597021692
12,2,True,True,True,12,0.2,1.5,0.38954673644663007,0.8145970987498292,0.10107462349152567
12,2,True,True,True,12,0.2,2.0,0.4074450462586183,0.841471046192353,0.11368266173865856
12,2,True,True,False,6,0.18,1.5,0.39266710405665456,0.5781559372912101,0.2551008265273985
12,2,True,True,False,6,0.18,2.0,0.4094142432023881,0.6362575172879686,0.24466287259723193
12,2,True,True,False,6,0.2,1.5,0.3779686816178899,0.5576081747062788,0.244732798615011
12,2,True,True,False,6,0.2,2.0,0.41138788518567343,0.6178621809273457,0.26055960160400166
12,2,True,True,False,12,0.18,1.5,0.4851985655561979,0.7740046391121237,0.2764964223292157
12,2,True,True,False,12,0.18,2.0,0.4814751928440552,0.8038554495163949,0.2536060428219352
12,2,True,True,False,12,0.2,1.5,0.4720213824321375,0.7582637512246857,0.26504736956035696
12,2,True,True,False,12,0.2,2.0,0.4910356155464573,0.7974625033020444,0.27237479353252786
12,2,False,True,True,6,0.18,1.5,0.4038277178852959,0.8213768462671224,0.12014172428116172
12,2,False,True,True,6,0.18,2.0,0.4024081295015515,0.847098689365809,0.10513233238497827
12,2,False,True,True,6,0.2,1.5,0.39416134382831625,0.8145970987498292,0.1100446846599637
12,2,False,True,True,6,0.2,2.0,0.4116798400475195,0.841471046192353,0.12181744798021892
12,2,False,True,True,12,0.18,1.5,0.4038277178852959,0.8213768462671224,0.12014172428116172
12,2,False,True,True,12,0.18,2.0,0.4024081295015515,0.847098689365809,0.10513233238497827
12,2,False,True,True,12,0.2,1.5,0.39416134382831625,0.8145970987498292,0.1100446846599637
12,2,False,True,True,12,0.2,2.0,0.4116798400475195,0.841471046192353,0.12181744798021892
12,2,False,True,False,6,0.18,1.5,0.4903158266281824,0.6408585197230476,0.3798293540424604
12,2,False,True,False,6,0.18,2.0,0.4868812744163091,0.6683025305046552,0.3573118359802959
12,2,False,True,False,6,0.2,1.5,0.4723443940535495,0.6224919012140168,0.36138354314663246
12,2,False,True,False,6,0.2,2.0,0.49720998469518773,0.6637137474620727,0.37728766214013376
12,2,False,True,False,12,0.18,1.5,0.4903158266281824,0.6408585197230476,0.3798293540424604
12,2,False,True,False,12,0.18,2.0,0.4868812744163091,0.6683025305046552,0.3573118359802959
12,2,False,True,False,12,0.2,1.5,0.4723443940535495,0.6224919012140168,0.36138354314663246
12,2,False,True,False,12,0.2,2.0,0.49720998469518773,0.6637137474620727,0.37728766214013376
