lookback,top_k,use_ts,use_12m1m,use_xlv_filter,ts_lookback,target_vol,max_gross,sharpe_full,sharpe_in,sharpe_out
6,1,True,True,True,6,0.1,1.5,0.3123160533865218,0.6662804758250007,0.08024121927864901
6,1,True,True,True,12,0.1,1.5,0.33009666116603253,0.6807086343765415,0.10695331667019158
6,1,False,True,True,6,0.1,1.5,0.33009666116603253,0.6807086343765415,0.10695331667019158
6,1,False,True,True,12,0.1,1.5,0.33009666116603253,0.6807086343765415,0.10695331667019158
6,2,True,True,True,6,0.1,1.5,0.4106598134500819,0.8682656553879459,0.10000109463820213
6,2,True,True,True,12,0.1,1.5,0.38032655163239854,0.8499721349250752,0.07069791468695086
6,2,False,True,True,6,0.1,1.5,0.3845007293554609,0.8499721349250752,0.07863931844307662
6,2,False,True,True,12,0.1,1.5,0.3845007293554609,0.8499721349250752,0.07863931844307662
12,1,True,True,True,6,0.1,1.5,0.3123160533865218,0.6662804758250007,0.08024121927864901
12,1,True,True,True,12,0.1,1.5,0.33009666116603253,0.6807086343765415,0.10695331667019158
12,1,False,True,True,6,0.1,1.5,0.33009666116603253,0.6807086343765415,0.10695331667019158
12,1,False,True,True,12,0.1,1.5,0.33009666116603253,0.6807086343765415,0.10695331667019158
12,2,True,True,True,6,0.1,1.5,0.4106598134500819,0.8682656553879459,0.10000109463820213
12,2,True,True,True,12,0.1,1.5,0.38032655163239854,0.8499721349250752,0.07069791468695086
12,2,False,True,True,6,0.1,1.5,0.3845007293554609,0.8499721349250752,0.07863931844307662
12,2,False,True,True,12,0.1,1.5,0.3845007293554609,0.8499721349250752,0.07863931844307662
